# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 4
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 02:51:17 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 14 22
BLACK 49 41
WHITE 12 19
BLACK 52 43
WHITE 15 23
BLACK 41 34
WHITE 6 14
BLACK 51 44
WHITE 11 20
BLACK 56 49
WHITE 22 30
BLACK 59 51
WHITE 10 18
BLACK 60 52
WHITE 4 12
BLACK 49 42
WHITE 30 38
BLACK 34 26
WHITE 2 10
BLACK 43 34
WHITE 13 22
BLACK 42 35
WHITE 22 29
BLACK 51 43
WHITE 12 21
BLACK 54 46
WHITE 20 28
BLACK 34 27
WHITE 3 11
BLACK 57 49
WHITE 9 17
BLACK 35 28
WHITE 17 24
BLACK 26 17
WHITE 18 26
BLACK 48 41
WHITE 1 9
BLACK 44 37
WHITE 5 12
BLACK 37 30
WHITE 21 28
BLACK 53 44
WHITE 14 21
BLACK 41 32
WHITE 9 18
BLACK 58 51
WHITE 29 36
BLACK 61 54
WHITE 36 43
BLACK 17 10
WHITE 12 20
BLACK 51 42
WHITE 18 25
BLACK 27 20
WHITE 21 30
BLACK 44 36
WHITE 7 14
BLACK 20 13
WHITE 11 20
BLACK 46 39
WHITE 25 34
BLACK 49 40
WHITE 0 9
BLACK 54 46
WHITE 9 17
BLACK 42 33
WHITE 14 22
BLACK 13 6
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 02:51:18 GMT 2009
