# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 10
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 04:24:33 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'dummy', running on localhost
START WHITE dummy
START BLACK dummy
WHITE 9 16
BLACK 48 40
WHITE 16 25
BLACK 55 47
WHITE 25 34
BLACK 47 38
WHITE 13 22
BLACK 50 42
WHITE 14 21
BLACK 51 43
WHITE 22 29
BLACK 38 31
WHITE 15 22
BLACK 60 51
WHITE 22 30
BLACK 43 36
WHITE 30 39
BLACK 53 46
WHITE 29 37
BLACK 42 35
WHITE 11 18
BLACK 35 28
WHITE 21 29
BLACK 62 53
WHITE 12 20
BLACK 54 47
WHITE 4 13
BLACK 51 43
WHITE 5 12
BLACK 49 41
WHITE 6 15
BLACK 56 48
WHITE 34 41
BLACK 58 51
WHITE 41 49
BLACK 63 54
WHITE 2 9
BLACK 43 34
WHITE 37 44
BLACK 54 45
WHITE 8 16
BLACK 45 38
WHITE 44 51
BLACK 40 32
WHITE 18 25
BLACK 46 39
WHITE 51 58
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 04:24:34 GMT 2009
