# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 28
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 08:42:03 GMT 2009
# Player 1: WHITE, 'Saqib', running on localhost
# Player 2: BLACK, 'dummy', running on localhost
START WHITE Saqib
START BLACK dummy
WHITE 14 23
BLACK 52 45
WHITE 12 21
BLACK 55 47
WHITE 3 12
BLACK 45 37
WHITE 23 30
BLACK 50 43
WHITE 5 14
BLACK 53 46
WHITE 12 20
BLACK 43 35
WHITE 8 16
BLACK 48 40
WHITE 14 22
BLACK 59 52
WHITE 10 19
BLACK 54 45
WHITE 30 37
BLACK 62 53
WHITE 22 29
BLACK 40 33
WHITE 20 28
BLACK 46 37
WHITE 29 36
BLACK 47 38
WHITE 9 17
BLACK 51 42
WHITE 36 43
BLACK 52 43
WHITE 15 22
BLACK 38 29
WHITE 17 25
BLACK 42 34
WHITE 7 14
BLACK 53 44
WHITE 25 34
BLACK 61 52
WHITE 11 18
BLACK 58 51
WHITE 4 11
BLACK 63 55
WHITE 13 20
BLACK 56 48
WHITE 0 9
BLACK 43 34
WHITE 22 30
BLACK 33 24
WHITE 2 10
BLACK 45 38
WHITE 14 22
BLACK 49 40
WHITE 19 26
BLACK 51 43
WHITE 30 39
BLACK 34 27
WHITE 1 8
BLACK 43 36
WHITE 8 17
BLACK 29 22
WHITE 6 15
BLACK 55 47
WHITE 20 29
BLACK 40 33
WHITE 29 38
BLACK 37 30
WHITE 11 20
BLACK 57 49
WHITE 15 23
BLACK 22 14
WHITE 17 25
BLACK 52 45
WHITE 26 35
BLACK 60 51
WHITE 38 47
BLACK 45 38
WHITE 25 32
BLACK 14 5
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 08:42:04 GMT 2009
