# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 65
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:19:53 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'Human', running on lab2-9.CS.McGill.CA
START WHITE neural
START BLACK Human
WHITE 14 23
BLACK 51 44
WHITE 23 31
BLACK 44 35
WHITE 11 19
BLACK 35 27
WHITE 13 20
BLACK 27 20
WHITE 31 38
BLACK 20 13
WHITE 6 13
BLACK 49 41
WHITE 3 11
BLACK 50 42
WHITE 38 45
BLACK 52 45
WHITE 19 27
BLACK 42 35
WHITE 8 17
BLACK 41 33
WHITE 5 14
BLACK 33 26
WHITE 17 26
BLACK 35 26
WHITE 27 35
BLACK 55 47
WHITE 1 8
BLACK 45 37
WHITE 35 44
BLACK 53 44
WHITE 12 20
BLACK 44 36
WHITE 20 27
BLACK 36 27
WHITE 14 22
BLACK 26 18
WHITE 11 18
BLACK 37 29
WHITE 22 29
BLACK 27 20
WHITE 13 20
BLACK 47 39
WHITE 29 36
BLACK 39 30
WHITE 9 17
BLACK 30 21
WHITE 4 11
BLACK 21 13
WHITE 36 43
BLACK 13 5
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:21:19 EDT 2009
