# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 75
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:26:24 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 11 19
BLACK 48 40
WHITE 13 22
BLACK 57 48
WHITE 22 30
BLACK 40 32
WHITE 30 39
BLACK 32 25
WHITE 39 46
BLACK 53 46
WHITE 19 27
BLACK 61 53
WHITE 27 36
BLACK 25 16
WHITE 9 16
BLACK 54 47
WHITE 12 21
BLACK 51 42
WHITE 36 44
BLACK 53 44
WHITE 21 28
BLACK 47 39
WHITE 28 36
BLACK 50 43
WHITE 36 43
BLACK 52 43
WHITE 16 24
BLACK 39 31
WHITE 10 18
BLACK 60 53
WHITE 24 33
BLACK 42 33
WHITE 18 27
BLACK 31 23
WHITE 15 22
BLACK 23 14
WHITE 5 14
BLACK 33 26
WHITE 14 23
BLACK 59 51
WHITE 22 30
BLACK 26 18
WHITE 8 17
BLACK 18 10
WHITE 3 10
BLACK 44 36
WHITE 27 36
BLACK 43 36
WHITE 17 26
BLACK 36 28
WHITE 10 18
BLACK 55 47
WHITE 26 34
BLACK 48 40
WHITE 18 26
BLACK 28 20
WHITE 34 42
BLACK 51 42
WHITE 30 37
BLACK 46 37
WHITE 26 34
BLACK 63 55
WHITE 4 12
BLACK 49 41
WHITE 34 41
BLACK 53 46
WHITE 41 48
BLACK 58 49
WHITE 23 30
BLACK 37 30
WHITE 48 57
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 16:26:25 EDT 2009
