# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 87
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:57:01 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 13 20
BLACK 52 44
WHITE 20 28
BLACK 44 36
WHITE 28 35
BLACK 36 29
WHITE 35 44
BLACK 51 44
WHITE 8 16
BLACK 29 20
WHITE 11 20
BLACK 53 45
WHITE 20 28
BLACK 44 35
WHITE 28 35
BLACK 45 37
WHITE 14 23
BLACK 37 30
WHITE 23 30
BLACK 50 41
WHITE 35 43
BLACK 41 33
WHITE 43 50
BLACK 59 50
WHITE 30 39
BLACK 49 42
WHITE 4 13
BLACK 33 26
WHITE 39 46
BLACK 26 18
WHITE 46 55
BLACK 18 9
WHITE 55 62
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 16:57:01 EDT 2009
