# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 125
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:19:04 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 19
BLACK 48 40
WHITE 19 27
BLACK 40 32
WHITE 27 35
BLACK 32 24
WHITE 35 43
BLACK 50 43
WHITE 10 17
BLACK 24 17
WHITE 8 17
BLACK 43 34
WHITE 11 19
BLACK 34 25
WHITE 19 26
BLACK 25 16
WHITE 26 34
BLACK 16 9
WHITE 2 9
BLACK 49 40
WHITE 34 43
BLACK 52 43
WHITE 17 25
BLACK 40 32
WHITE 25 32
BLACK 43 34
WHITE 32 40
BLACK 34 25
WHITE 13 21
BLACK 25 16
WHITE 9 16
BLACK 51 42
WHITE 21 30
BLACK 42 33
WHITE 30 38
BLACK 33 24
WHITE 38 47
BLACK 54 47
WHITE 40 49
BLACK 56 49
WHITE 16 25
BLACK 24 16
WHITE 25 34
BLACK 16 8
WHITE 1 8
BLACK 47 38
WHITE 15 23
BLACK 38 29
WHITE 34 42
BLACK 49 42
WHITE 14 22
BLACK 29 22
WHITE 23 31
BLACK 22 13
WHITE 4 13
BLACK 42 33
WHITE 31 39
BLACK 33 24
WHITE 13 21
BLACK 24 16
WHITE 39 47
BLACK 16 9
WHITE 0 9
BLACK 53 44
WHITE 21 28
BLACK 44 35
WHITE 28 35
BLACK 55 46
WHITE 9 16
BLACK 46 37
WHITE 47 54
BLACK 61 54
WHITE 35 43
BLACK 37 28
WHITE 43 51
BLACK 58 51
WHITE 16 24
BLACK 28 19
WHITE 3 11
BLACK 19 10
WHITE 8 16
BLACK 10 1
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:19:05 EDT 2009
