# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 134
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:22:43 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 52 44
WHITE 16 24
BLACK 44 36
WHITE 24 32
BLACK 36 29
WHITE 32 40
BLACK 49 40
WHITE 9 16
BLACK 40 32
WHITE 16 24
BLACK 32 25
WHITE 24 32
BLACK 29 21
WHITE 12 21
BLACK 51 43
WHITE 32 40
BLACK 43 35
WHITE 40 49
BLACK 56 49
WHITE 21 28
BLACK 35 28
WHITE 10 17
BLACK 28 19
WHITE 17 24
BLACK 19 10
WHITE 1 10
BLACK 25 18
WHITE 11 18
BLACK 53 44
WHITE 24 32
BLACK 44 37
WHITE 32 40
BLACK 49 40
WHITE 18 25
BLACK 37 28
WHITE 25 32
BLACK 28 20
WHITE 13 20
BLACK 50 43
WHITE 32 41
BLACK 48 41
WHITE 20 27
BLACK 41 33
WHITE 27 34
BLACK 54 46
WHITE 34 43
BLACK 33 25
WHITE 43 50
BLACK 59 50
WHITE 10 17
BLACK 25 16
WHITE 17 24
BLACK 16 8
WHITE 24 32
BLACK 8 1
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:22:45 EDT 2009
