# Server version 0.04 running on lab2-6.CS.McGill.CA:8123
# Game ID: 1
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Mon Jan 26 16:59:08 EST 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'dummy', running on localhost
START WHITE dummy
START BLACK dummy
WHITE 12 20
BLACK 51 43
WHITE 9 17
BLACK 52 44
WHITE 5 12
BLACK 44 36
WHITE 2 9
BLACK 36 28
WHITE 20 27
BLACK 48 40
WHITE 11 18
BLACK 43 34
WHITE 18 25
BLACK 50 41
WHITE 27 35
BLACK 34 25
WHITE 13 22
BLACK 54 47
WHITE 9 16
BLACK 28 21
WHITE 35 42
BLACK 62 54
WHITE 17 24
BLACK 41 33
WHITE 24 33
BLACK 47 38
WHITE 12 20
BLACK 25 16
WHITE 6 13
BLACK 40 33
WHITE 0 9
BLACK 58 50
WHITE 9 18
BLACK 55 47
WHITE 20 27
BLACK 63 55
WHITE 3 12
BLACK 55 46
WHITE 22 31
BLACK 54 45
WHITE 18 25
BLACK 49 40
WHITE 1 9
BLACK 45 36
WHITE 13 22
BLACK 16 9
WHITE 22 29
BLACK 21 14
WHITE 12 19
BLACK 33 26
WHITE 31 39
BLACK 26 19
WHITE 29 37
BLACK 59 52
WHITE 25 34
BLACK 46 39
WHITE 27 36
BLACK 9 2
GAMEOVER 
WINNER BLACK
# Game ended: Mon Jan 26 16:59:09 EST 2009
