# Server version 0.04 running on lab2-6.CS.McGill.CA:8123
# Game ID: 2
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Mon Jan 26 17:24:03 EST 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 11 18
BLACK 48 40
WHITE 9 17
BLACK 50 42
WHITE 15 23
BLACK 40 32
WHITE 0 9
BLACK 51 44
WHITE 3 11
BLACK 42 33
WHITE 12 20
BLACK 54 45
WHITE 18 27
BLACK 44 37
WHITE 10 18
BLACK 32 24
WHITE 1 10
BLACK 62 54
WHITE 6 15
BLACK 59 50
WHITE 5 12
BLACK 49 41
WHITE 12 21
BLACK 37 30
WHITE 27 36
BLACK 57 48
WHITE 36 44
BLACK 41 32
WHITE 4 12
BLACK 45 36
WHITE 17 24
BLACK 53 44
WHITE 24 33
BLACK 50 43
WHITE 20 27
BLACK 54 47
WHITE 21 29
BLACK 30 22
WHITE 10 17
BLACK 48 40
WHITE 12 19
BLACK 58 51
WHITE 9 16
BLACK 40 33
WHITE 23 30
BLACK 55 46
WHITE 14 21
BLACK 63 54
WHITE 29 37
BLACK 43 34
WHITE 37 46
BLACK 33 26
WHITE 11 20
BLACK 36 28
WHITE 2 11
BLACK 47 38
WHITE 19 26
BLACK 52 43
WHITE 15 23
BLACK 60 52
WHITE 11 19
BLACK 61 53
WHITE 27 34
BLACK 44 36
WHITE 19 28
BLACK 54 45
WHITE 17 24
BLACK 36 29
WHITE 26 33
BLACK 22 13
WHITE 18 27
BLACK 43 35
WHITE 7 14
BLACK 51 43
WHITE 28 37
BLACK 13 5
GAMEOVER 
WINNER BLACK
# Game ended: Mon Jan 26 17:24:05 EST 2009
