# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 31
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 09:26:31 GMT 2009
# Player 1: WHITE, 'Saqib', running on localhost
# Player 2: BLACK, 'dummy', running on localhost
START WHITE Saqib
START BLACK dummy
WHITE 8 16
BLACK 52 44
WHITE 16 24
BLACK 48 41
WHITE 11 18
BLACK 50 42
WHITE 18 26
BLACK 54 47
WHITE 24 33
BLACK 59 52
WHITE 14 21
BLACK 49 40
WHITE 12 20
BLACK 47 38
WHITE 10 18
BLACK 41 32
WHITE 9 16
BLACK 32 25
WHITE 5 12
BLACK 40 33
WHITE 12 19
BLACK 38 29
WHITE 21 28
BLACK 25 18
WHITE 16 24
BLACK 18 9
WHITE 0 9
BLACK 33 24
WHITE 7 14
BLACK 29 22
WHITE 28 37
BLACK 63 54
WHITE 1 8
BLACK 57 49
WHITE 2 11
BLACK 56 48
WHITE 8 17
BLACK 58 50
WHITE 3 10
BLACK 54 46
WHITE 10 18
BLACK 49 40
WHITE 20 27
BLACK 44 37
WHITE 13 22
BLACK 50 43
WHITE 22 30
BLACK 40 33
WHITE 15 23
BLACK 42 35
WHITE 4 12
BLACK 24 17
WHITE 12 21
BLACK 62 54
WHITE 26 34
BLACK 53 44
WHITE 27 36
BLACK 33 25
WHITE 19 28
BLACK 46 38
WHITE 9 16
BLACK 54 46
WHITE 28 37
BLACK 17 9
WHITE 36 43
BLACK 35 26
WHITE 34 42
BLACK 46 37
WHITE 16 25
BLACK 9 0
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 09:26:32 GMT 2009
