# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 33
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 09:38:59 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 12 19
BLACK 52 45
WHITE 15 23
BLACK 60 52
WHITE 3 12
BLACK 53 46
WHITE 8 16
BLACK 46 38
WHITE 6 15
BLACK 52 43
WHITE 15 22
BLACK 38 29
WHITE 9 17
BLACK 43 34
WHITE 16 25
BLACK 49 41
WHITE 25 32
BLACK 58 49
WHITE 1 9
BLACK 50 43
WHITE 32 40
BLACK 45 38
WHITE 40 49
BLACK 48 40
WHITE 49 58
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 09:38:59 GMT 2009
