# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 69
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:24:16 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 11 19
BLACK 52 45
WHITE 3 11
BLACK 45 37
WHITE 14 21
BLACK 37 29
WHITE 19 27
BLACK 51 42
WHITE 27 36
BLACK 29 22
WHITE 15 22
BLACK 42 35
WHITE 5 14
BLACK 53 44
WHITE 8 17
BLACK 44 37
WHITE 7 15
BLACK 54 46
WHITE 10 19
BLACK 35 27
WHITE 9 16
BLACK 37 29
WHITE 22 29
BLACK 27 20
WHITE 11 20
BLACK 49 41
WHITE 4 11
BLACK 46 39
WHITE 1 8
BLACK 39 31
WHITE 36 44
BLACK 31 23
WHITE 14 23
BLACK 41 32
WHITE 44 53
BLACK 60 53
WHITE 2 10
BLACK 53 45
WHITE 20 28
BLACK 32 25
WHITE 16 25
BLACK 55 47
WHITE 0 9
BLACK 45 37
WHITE 28 37
BLACK 47 38
WHITE 29 38
BLACK 48 41
WHITE 38 45
BLACK 41 33
WHITE 45 52
BLACK 59 52
WHITE 6 14
BLACK 33 26
WHITE 19 26
BLACK 52 44
WHITE 37 44
BLACK 50 43
WHITE 44 51
BLACK 58 51
WHITE 11 20
BLACK 43 34
WHITE 25 34
BLACK 51 42
WHITE 34 41
BLACK 61 54
WHITE 9 18
BLACK 54 46
WHITE 21 28
BLACK 42 34
WHITE 41 49
BLACK 56 49
WHITE 26 35
BLACK 46 38
WHITE 14 21
BLACK 38 30
WHITE 23 30
BLACK 49 41
WHITE 17 26
BLACK 41 33
WHITE 26 33
BLACK 62 54
WHITE 18 25
BLACK 34 25
WHITE 33 42
BLACK 25 18
WHITE 13 22
BLACK 18 11
WHITE 10 17
BLACK 11 3
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:24:18 EDT 2009
