# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 119
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 17:11:14 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 13 21
BLACK 50 43
WHITE 21 29
BLACK 43 35
WHITE 29 38
BLACK 59 50
WHITE 12 20
BLACK 35 26
WHITE 38 47
BLACK 54 47
WHITE 20 28
BLACK 63 54
WHITE 9 18
BLACK 26 17
WHITE 10 17
BLACK 47 38
WHITE 18 26
BLACK 38 29
WHITE 28 37
BLACK 29 22
WHITE 15 22
BLACK 54 45
WHITE 37 46
BLACK 55 46
WHITE 22 30
BLACK 46 37
WHITE 30 37
BLACK 45 36
WHITE 37 46
BLACK 53 46
WHITE 26 35
BLACK 36 27
WHITE 35 43
BLACK 50 43
WHITE 4 13
BLACK 57 50
WHITE 17 25
BLACK 27 18
WHITE 11 18
BLACK 46 39
WHITE 25 32
BLACK 62 53
WHITE 18 26
BLACK 49 40
WHITE 13 21
BLACK 39 31
WHITE 32 41
BLACK 50 41
WHITE 26 34
BLACK 43 34
WHITE 21 29
BLACK 58 49
WHITE 29 37
BLACK 31 23
WHITE 14 23
BLACK 34 27
WHITE 37 46
BLACK 53 46
WHITE 8 16
BLACK 27 20
WHITE 23 31
BLACK 20 12
WHITE 3 12
BLACK 41 32
WHITE 31 39
BLACK 46 39
WHITE 16 24
BLACK 39 30
WHITE 24 33
BLACK 40 33
WHITE 12 20
BLACK 30 21
WHITE 20 28
BLACK 60 53
WHITE 28 36
BLACK 61 54
WHITE 36 44
BLACK 53 44
WHITE 5 12
BLACK 21 12
WHITE 2 9
BLACK 12 5
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 17:11:16 EDT 2009
