# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 135
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:22:59 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 48 40
WHITE 20 28
BLACK 40 32
WHITE 28 37
BLACK 32 24
WHITE 37 45
BLACK 52 45
WHITE 10 18
BLACK 24 16
WHITE 9 16
BLACK 45 36
WHITE 18 26
BLACK 36 27
WHITE 13 21
BLACK 27 18
WHITE 11 18
BLACK 49 40
WHITE 26 34
BLACK 40 32
WHITE 34 42
BLACK 51 42
WHITE 21 29
BLACK 32 24
WHITE 29 36
BLACK 24 17
WHITE 8 17
BLACK 42 33
WHITE 36 45
BLACK 54 45
WHITE 14 21
BLACK 33 24
WHITE 17 24
BLACK 45 36
WHITE 24 32
BLACK 36 27
WHITE 18 27
BLACK 50 41
WHITE 32 41
BLACK 53 44
WHITE 41 50
BLACK 57 50
WHITE 27 35
BLACK 44 35
WHITE 21 29
BLACK 35 26
WHITE 29 37
BLACK 26 17
WHITE 4 12
BLACK 17 8
WHITE 1 8
BLACK 50 41
WHITE 12 19
BLACK 41 32
WHITE 37 45
BLACK 32 24
WHITE 45 52
BLACK 59 52
WHITE 19 26
BLACK 24 17
WHITE 8 17
BLACK 52 43
WHITE 16 24
BLACK 43 34
WHITE 26 33
BLACK 34 25
WHITE 15 22
BLACK 25 16
WHITE 33 40
BLACK 16 8
WHITE 40 48
BLACK 8 1
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:23:00 EDT 2009
