# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 136
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:23:16 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 52 45
WHITE 16 24
BLACK 45 37
WHITE 24 32
BLACK 37 29
WHITE 32 40
BLACK 49 40
WHITE 9 16
BLACK 29 22
WHITE 13 22
BLACK 51 42
WHITE 16 24
BLACK 40 32
WHITE 24 33
BLACK 42 33
WHITE 22 29
BLACK 32 24
WHITE 29 36
BLACK 24 17
WHITE 10 17
BLACK 33 25
WHITE 36 43
BLACK 50 43
WHITE 17 24
BLACK 25 16
WHITE 24 32
BLACK 43 34
WHITE 32 40
BLACK 16 9
WHITE 0 9
BLACK 34 26
WHITE 40 49
BLACK 58 49
WHITE 9 16
BLACK 26 18
WHITE 11 18
BLACK 53 45
WHITE 16 24
BLACK 45 37
WHITE 24 32
BLACK 54 46
WHITE 32 40
BLACK 49 40
WHITE 18 25
BLACK 37 29
WHITE 25 32
BLACK 29 20
WHITE 32 41
BLACK 48 41
WHITE 12 19
BLACK 20 12
WHITE 3 12
BLACK 46 39
WHITE 19 26
BLACK 39 30
WHITE 26 33
BLACK 40 33
WHITE 12 19
BLACK 30 21
WHITE 14 21
BLACK 33 25
WHITE 19 26
BLACK 41 33
WHITE 26 33
BLACK 25 16
WHITE 33 40
BLACK 55 46
WHITE 40 48
BLACK 57 48
WHITE 21 28
BLACK 16 8
WHITE 1 8
BLACK 46 38
WHITE 28 35
BLACK 38 31
WHITE 35 42
BLACK 31 23
WHITE 42 49
BLACK 56 49
WHITE 8 16
BLACK 23 14
WHITE 5 14
BLACK 49 41
WHITE 16 24
BLACK 41 33
WHITE 24 33
BLACK 60 52
WHITE 33 40
BLACK 52 44
WHITE 40 49
BLACK 48 41
WHITE 49 56
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 19:23:18 EDT 2009
